sno,language,question_type,category,level,question,option1,answer1,option2,answer2,option3,answer3,option4,answer4,option5,answer5,option6,answer6,option7,answer7,option8,answer8
13,hi,single_choice,general_studies,difficult,भारत का पहला परमाणु परीक्षण कब हुआ?,1974,TRUE,1971,FALSE,1978,FALSE,1980,FALSE,,,,,,,,
14,hi,single_choice,state_gk,easy,क्षेत्रफल की दृष्टि से भारत का सबसे बड़ा राज्य कौन है?,राजस्थान,TRUE,मध्य प्रदेश,FALSE,महाराष्ट्र,FALSE,उत्तर प्रदेश,FALSE,,,,,,,,
15,hi,single_choice,state_gk,easy,पंजाब को किस नाम से जाना जाता है?,पांच नदियों की भूमि,TRUE,फूलों की घाटी,FALSE,मसालों का बगीचा,FALSE,देवभूमि,FALSE,,,,,,,,
16,hi,single_choice,state_gk,moderate,भारत में सबसे अधिक साक्षरता दर किस राज्य की है?,केरल,TRUE,तमिलनाडु,FALSE,गोवा,FALSE,मिजोरम,FALSE,,,,,,,,
17,hi,single_choice,state_gk,moderate,भारत का सिलिकॉन वैली किसे कहते हैं?,बेंगलुरु,TRUE,हैदराबाद,FALSE,पुणे,FALSE,चेन्नई,FALSE,,,,,,,,
18,hi,single_choice,state_gk,difficult,भारत की सबसे लंबी तटरेखा किस राज्य की है?,गुजरात,TRUE,महाराष्ट्र,FALSE,तमिलनाडु,FALSE,आंध्र प्रदेश,FALSE,,,,,,,,
19,hi,single_choice,moyas,easy,NSS का पूरा नाम क्या है?,राष्ट्रीय सेवा योजना,TRUE,राष्ट्रीय खेल विद्यालय,FALSE,राष्ट्रीय कौशल समिति,FALSE,राष्ट्रीय विज्ञान संस्था,FALSE,,,,,,,,
20,hi,single_choice,moyas,easy,NSS का आदर्श वाक्य क्या है?,मैं नहीं तुम,TRUE,सेवा ही धर्म,FALSE,युवा राष्ट्र के लिए,FALSE,हम सब एक हैं,FALSE,,,,,,,,
21,hi,single_choice,moyas,moderate,राष्ट्रीय युवा दिवस कब मनाया जाता है?,12 जनवरी,TRUE,26 जनवरी,FALSE,15 अगस्त,FALSE,14 नवंबर,FALSE,,,,,,,,
22,hi,single_choice,moyas,moderate,युवा क्लब बनाने के लिए न्यूनतम कितने सदस्य चाहिए?,छह,TRUE,पांच,FALSE,दस,FALSE,आठ,FALSE,,,,,,,,
23,hi,single_choice,moyas,difficult,नेहरू युवा केंद्र संगठन की स्थापना कब हुई?,1972,TRUE,1968,FALSE,1975,FALSE,1980,FALSE,,,,,,,,
24,hi,single_choice,general_studies,easy,भारत के प्रधानमंत्री का कार्यकाल कितना होता है?,5 वर्ष,TRUE,4 वर्ष,FALSE,6 वर्ष,FALSE,7 वर्ष,FALSE,,,,,,,,
25,hi,single_choice,general_studies,easy,विश्व का सबसे बड़ा लोकतंत्र कौन है?,भारत,TRUE,अमेरिका,FALSE,ब्रिटेन,FALSE,फ्रांस,FALSE,,,,,,,,
26,hi,single_choice,general_studies,moderate,भारत की मुद्रा नीति कौन निर्धारित करता है?,भारतीय रिजर्व बैंक,TRUE,सेबी,FALSE,नाबार्ड,FALSE,भारतीय स्टेट बैंक,FALSE,,,,,,,,
27,hi,single_choice,general_studies,moderate,सूर्य के सबसे निकट ग्रह कौन है?,बुध,TRUE,शुक्र,FALSE,पृथ्वी,FALSE,मंगल,FALSE,,,,,,,,
28,hi,single_choice,general_studies,difficult,भारतीय तटरेखा की अनुमानित लंबाई कितनी है?,7517 किलोमीटर,TRUE,6100 किलोमीटर,FALSE,8500 किलोमीटर,FALSE,5400 किलोमीटर,FALSE,,,,,,,,
29,hi,multi_choice,general_studies,easy,निम्नलिखित में से कौन भारत के केंद्र शासित प्रदेश हैं?,दिल्ली,TRUE,चंडीगढ़,TRUE,गोवा,FALSE,पुडुचेरी,TRUE,,,,,,,,
30,hi,multi_choice,moyas,easy,निम्नलिखित में से कौन युवा विकास कार्यक्रम हैं?,NSS,TRUE,NCC,TRUE,FIFA,FALSE,MY Bharat,TRUE,,,,,,,,
31,hi,single_choice,general_studies,easy,पानी का रासायनिक सूत्र क्या है?,H2O,TRUE,CO2,FALSE,O2,FALSE,NaCl,FALSE,,,,,,,,
32,hi,single_choice,general_studies,easy,मानव शरीर में कुल कितनी हड्डियां होती हैं?,206,TRUE,208,FALSE,204,FALSE,200,FALSE,,,,,,,,
33,hi,single_choice,general_studies,moderate,मानव शरीर में इंसुलिन कौन बनाता है?,अग्न्याशय,TRUE,यकृत,FALSE,गुर्दा,FALSE,हृदय,FALSE,,,,,,,,
34,hi,single_choice,general_studies,moderate,पृथ्वी पर सबसे कठोर प्राकृतिक पदार्थ कौन है?,हीरा,TRUE,ग्रेनाइट,FALSE,लोहा,FALSE,क्वार्ट्ज,FALSE,,,,,,,,
35,hi,single_choice,general_studies,difficult,शून्य की अवधारणा किसने दी?,आर्यभट्ट,TRUE,रामानुजन,FALSE,ब्रह्मगुप्त,FALSE,भास्कर,FALSE,,,,,,,,
36,hi,single_choice,general_studies,easy,भारत का सर्वोच्च नागरिक सम्मान क्या है?,भारत रत्न,TRUE,पद्म विभूषण,FALSE,पद्म भूषण,FALSE,पद्म श्री,FALSE,,,,,,,,
37,hi,single_choice,general_studies,moderate,भारतीय राष्ट्रगान किसने लिखा?,रवींद्रनाथ टैगोर,TRUE,बंकिम चंद्र चट्टोपाध्याय,FALSE,सरोजिनी नायडू,FALSE,मुहम्मद इकबाल,FALSE,,,,,,,,
38,hi,single_choice,general_studies,moderate,शिक्षा का अधिकार अधिनियम कब लागू हुआ?,2009,TRUE,2005,FALSE,2010,FALSE,2012,FALSE,,,,,,,,
39,hi,single_choice,general_studies,difficult,42वां संशोधन किस नाम से जाना जाता है?,लघु संविधान,TRUE,44वां संशोधन,FALSE,73वां संशोधन,FALSE,86वां संशोधन,FALSE,,,,,,,,
40,hi,single_choice,general_studies,difficult,संयुक्त राष्ट्र ने 2015 में कितने सतत विकास लक्ष्य अपनाए?,17,TRUE,15,FALSE,20,FALSE,12,FALSE,,,,,,,,
41,hi,single_choice,state_gk,easy,केरल को किस नाम से जाना जाता है?,ईश्वर का अपना देश,TRUE,मसालों का बगीचा,FALSE,नारियल का देश,FALSE,हरी भूमि,FALSE,,,,,,,,
42,hi,single_choice,state_gk,moderate,भारत में चावल का सबसे बड़ा उत्पादक राज्य कौन है?,पश्चिम बंगाल,TRUE,पंजाब,FALSE,उत्तर प्रदेश,FALSE,आंध्र प्रदेश,FALSE,,,,,,,,
43,hi,single_choice,moyas,easy,NCC का पूरा नाम क्या है?,राष्ट्रीय कैडेट कोर,TRUE,राष्ट्रीय नागरिक कोर,FALSE,राष्ट्रीय सामुदायिक केंद्र,FALSE,राष्ट्रीय सांस्कृतिक समिति,FALSE,,,,,,,,
44,hi,single_choice,moyas,moderate,MY Bharat में ELP का पूरा नाम क्या है?,अनुभवात्मक शिक्षण कार्यक्रम,TRUE,शिक्षा शिक्षण मंच,FALSE,इलेक्ट्रॉनिक साक्षरता कार्यक्रम,FALSE,रोजगार लिंकेज पोर्टल,FALSE,,,,,,,,
45,hi,single_choice,moyas,difficult,NSS में प्रति वर्ष कितने घंटे सामुदायिक सेवा आवश्यक है?,120 घंटे,TRUE,100 घंटे,FALSE,150 घंटे,FALSE,200 घंटे,FALSE,,,,,,,,
46,hi,single_choice,general_studies,easy,भारत किस महाद्वीप में स्थित है?,एशिया,TRUE,यूरोप,FALSE,अफ्रीका,FALSE,ऑस्ट्रेलिया,FALSE,,,,,,,,
47,hi,single_choice,general_studies,easy,पौधे वायुमंडल से कौन सी गैस अवशोषित करते हैं?,कार्बन डाइऑक्साइड,TRUE,ऑक्सीजन,FALSE,नाइट्रोजन,FALSE,हाइड्रोजन,FALSE,,,,,,,,
48,hi,single_choice,general_studies,moderate,सूर्य की किरणों से कौन सा विटामिन मिलता है?,विटामिन डी,TRUE,विटामिन ए,FALSE,विटामिन सी,FALSE,विटामिन ई,FALSE,,,,,,,,
49,hi,single_choice,general_studies,moderate,विद्युत धारा की SI इकाई क्या है?,एम्पियर,TRUE,वोल्ट,FALSE,वाट,FALSE,ओम,FALSE,,,,,,,,
50,hi,single_choice,general_studies,difficult,निर्वात में प्रकाश की गति कितनी है?,3 लाख किमी प्रति सेकंड,TRUE,2 लाख किमी प्रति सेकंड,FALSE,4 लाख किमी प्रति सेकंड,FALSE,1 लाख किमी प्रति सेकंड,FALSE,,,,,,,,
51,hi,single_choice,general_studies,easy,ATM का पूरा नाम क्या है?,ऑटोमेटेड टेलर मशीन,TRUE,ऑटोमैटिक ट्रांजैक्शन मशीन,FALSE,ऑल टाइम मनी,FALSE,ऑटो ट्रांसफर मेथड,FALSE,,,,,,,,
52,hi,single_choice,general_studies,easy,समुद्र तल पर पानी का क्वथनांक कितना होता है?,100 डिग्री सेल्सियस,TRUE,90 डिग्री सेल्सियस,FALSE,110 डिग्री सेल्सियस,FALSE,80 डिग्री सेल्सियस,FALSE,,,,,,,,
53,hi,single_choice,general_studies,moderate,कौन सा रक्त समूह सार्वत्रिक दाता कहलाता है?,O नेगेटिव,TRUE,AB पॉजिटिव,FALSE,A पॉजिटिव,FALSE,B नेगेटिव,FALSE,,,,,,,,
54,hi,single_choice,general_studies,moderate,मंगल ग्रह को किस नाम से जाना जाता है?,लाल ग्रह,TRUE,नीला ग्रह,FALSE,हरा ग्रह,FALSE,पीला ग्रह,FALSE,,,,,,,,
55,hi,single_choice,general_studies,difficult,भारत की सबसे लंबी नदी कौन सी है?,गंगा,TRUE,गोदावरी,FALSE,ब्रह्मपुत्र,FALSE,नर्मदा,FALSE,,,,,,,,
56,hi,single_choice,general_studies,difficult,शुद्ध जल का pH मान कितना होता है?,7,TRUE,6,FALSE,8,FALSE,5,FALSE,,,,,,,,
57,hi,single_choice,state_gk,easy,क्षेत्रफल की दृष्टि से भारत का सबसे छोटा राज्य कौन है?,गोवा,TRUE,सिक्किम,FALSE,त्रिपुरा,FALSE,मिजोरम,FALSE,,,,,,,,
58,hi,single_choice,state_gk,moderate,भारत में सबसे अधिक जिले किस राज्य में हैं?,उत्तर प्रदेश,TRUE,मध्य प्रदेश,FALSE,महाराष्ट्र,FALSE,राजस्थान,FALSE,,,,,,,,
59,hi,single_choice,state_gk,difficult,भाषाई आधार पर बना पहला राज्य कौन था?,आंध्र प्रदेश,TRUE,तमिलनाडु,FALSE,कर्नाटक,FALSE,गुजरात,FALSE,,,,,,,,
60,hi,multi_choice,general_studies,moderate,निम्नलिखित में से कौन हिमालय से निकलने वाली नदियां हैं?,गंगा,TRUE,यमुना,TRUE,कावेरी,FALSE,ब्रह्मपुत्र,TRUE,,,,,,,,
61,hi,multi_choice,general_studies,easy,निम्नलिखित में से कौन नवीकरणीय ऊर्जा स्रोत हैं?,सौर ऊर्जा,TRUE,पवन ऊर्जा,TRUE,कोयला,FALSE,प्राकृतिक गैस,FALSE,,,,,,,,
62,hi,multi_choice,general_studies,moderate,निम्नलिखित में से कौन BRICS के सदस्य हैं?,भारत,TRUE,ब्राजील,TRUE,जापान,FALSE,दक्षिण अफ्रीका,TRUE,,,,,,,,
63,hi,single_choice,general_studies,easy,भारत का राष्ट्रीय खेल कौन सा है?,हॉकी,TRUE,क्रिकेट,FALSE,फुटबॉल,FALSE,कबड्डी,FALSE,,,,,,,,
64,hi,single_choice,general_studies,easy,मानव शरीर का सबसे बड़ा अंग कौन है?,त्वचा,TRUE,यकृत,FALSE,मस्तिष्क,FALSE,हृदय,FALSE,,,,,,,,
65,hi,single_choice,general_studies,moderate,भारत में पंचायती राज सबसे पहले कहां लागू हुआ?,राजस्थान,TRUE,केरल,FALSE,तमिलनाडु,FALSE,गुजरात,FALSE,,,,,,,,
66,hi,single_choice,general_studies,moderate,GDP का पूरा नाम क्या है?,सकल घरेलू उत्पाद,TRUE,सामान्य विकास योजना,FALSE,विकास वितरण नीति,FALSE,सरकारी प्रत्यक्ष भुगतान,FALSE,,,,,,,,
67,hi,single_choice,general_studies,difficult,विकसित भारत का लक्ष्य वर्ष क्या है?,2047,TRUE,2030,FALSE,2035,FALSE,2050,FALSE,,,,,,,,
68,hi,single_choice,general_studies,difficult,G20 शिखर सम्मेलन 2023 कहां आयोजित हुआ?,नई दिल्ली,TRUE,मुंबई,FALSE,बेंगलुरु,FALSE,कोलकाता,FALSE,,,,,,,,
69,hi,single_choice,moyas,easy,स्वयंसेवा को बढ़ावा देने वाला कार्यक्रम कौन है?,वॉलंटियर फॉर भारत,TRUE,स्टार्टअप इंडिया,FALSE,डिजिटल इंडिया,FALSE,मेक इन इंडिया,FALSE,,,,,,,,
70,hi,single_choice,moyas,moderate,NSS शिविर की अवधि कितनी होती है?,7 दिन,TRUE,10 दिन,FALSE,5 दिन,FALSE,15 दिन,FALSE,,,,,,,,
71,hi,single_choice,general_studies,easy,भारतीय संविधान विश्व का सबसे क्या है?,सबसे लंबा लिखित संविधान,TRUE,सबसे छोटा संविधान,FALSE,सबसे पुराना संविधान,FALSE,सबसे सरल संविधान,FALSE,,,,,,,,
72,hi,single_choice,general_studies,moderate,स्थानीय निकायों में महिलाओं के लिए कितने प्रतिशत सीटें आरक्षित हैं?,33 प्रतिशत,TRUE,25 प्रतिशत,FALSE,50 प्रतिशत,FALSE,40 प्रतिशत,FALSE,,,,,,,,
73,hi,single_choice,general_studies,difficult,समावेशी विकास की अवधारणा किस पंचवर्षीय योजना में आई?,ग्यारहवीं,TRUE,दसवीं,FALSE,बारहवीं,FALSE,नौवीं,FALSE,,,,,,,,
74,hi,multi_choice,general_studies,moderate,अनुच्छेद 51A के मौलिक कर्तव्य कौन से हैं?,राष्ट्रीय ध्वज का सम्मान,TRUE,पर्यावरण की रक्षा,TRUE,आयकर भुगतान,FALSE,सद्भाव को बढ़ावा,TRUE,,,,,,,,
75,hi,multi_choice,state_gk,easy,इनमें से कौन राज्यों की राजधानी हैं?,जयपुर,TRUE,लखनऊ,TRUE,पुणे,FALSE,भोपाल,TRUE,,,,,,,,
76,hi,single_choice,general_studies,easy,चंद्रयान-3 किस संस्था ने लॉन्च किया?,इसरो,TRUE,डीआरडीओ,FALSE,एचएएल,FALSE,बीएआरसी,FALSE,,,,,,,,
77,hi,single_choice,general_studies,moderate,कौशल विकास पर केंद्रित कार्यक्रम कौन सा है?,स्किल इंडिया,TRUE,मेक इन इंडिया,FALSE,डिजिटल इंडिया,FALSE,स्वच्छ भारत,FALSE,,,,,,,,
78,hi,single_choice,general_studies,moderate,भारत के राष्ट्रपति का कार्यकाल कितना होता है?,5 वर्ष,TRUE,4 वर्ष,FALSE,6 वर्ष,FALSE,7 वर्ष,FALSE,,,,,,,,
79,hi,single_choice,general_studies,difficult,भारत की 25 वर्ष से कम आयु की जनसंख्या कितने प्रतिशत है?,50 प्रतिशत,TRUE,35 प्रतिशत,FALSE,65 प्रतिशत,FALSE,40 प्रतिशत,FALSE,,,,,,,,
80,hi,single_choice,general_studies,difficult,पंचायती राज के गठन की सिफारिश किसने की?,बलवंत राय मेहता समिति,TRUE,अशोक मेहता समिति,FALSE,सरकारिया आयोग,FALSE,शाह आयोग,FALSE,,,,,,,,
81,hi,single_choice,state_gk,easy,भारत का मसालों का बगीचा किसे कहते हैं?,केरल,TRUE,कर्नाटक,FALSE,तमिलनाडु,FALSE,आंध्र प्रदेश,FALSE,,,,,,,,
82,hi,single_choice,state_gk,moderate,भारत में चाय का सबसे बड़ा उत्पादक राज्य कौन है?,असम,TRUE,पश्चिम बंगाल,FALSE,तमिलनाडु,FALSE,केरल,FALSE,,,,,,,,
83,hi,single_choice,general_studies,easy,डिजिलॉकर किस पहल का हिस्सा है?,डिजिटल इंडिया,TRUE,स्किल इंडिया,FALSE,स्टार्टअप इंडिया,FALSE,मेक इन इंडिया,FALSE,,,,,,,,
84,hi,single_choice,general_studies,moderate,MY Bharat पर युवाओं की पात्र आयु सीमा क्या है?,15 से 29 वर्ष,TRUE,18 से 35 वर्ष,FALSE,10 से 25 वर्ष,FALSE,20 से 40 वर्ष,FALSE,,,,,,,,
85,hi,single_choice,general_studies,difficult,राष्ट्रीय युवा नीति किस वर्ष लागू हुई?,2014,TRUE,2010,FALSE,2016,FALSE,2012,FALSE,,,,,,,,
86,hi,single_choice,moyas,easy,MY Bharat पर कौन सी गतिविधियां उपलब्ध हैं?,स्वयंसेवा और अनुभवात्मक शिक्षा,TRUE,शेयर ट्रेडिंग,FALSE,ऑनलाइन शॉपिंग,FALSE,गेमिंग,FALSE,,,,,,,,
87,hi,single_choice,moyas,moderate,अंतर्राष्ट्रीय युवा दिवस पहली बार कब मनाया गया?,1999,TRUE,2000,FALSE,1995,FALSE,2005,FALSE,,,,,,,,
88,hi,single_choice,moyas,difficult,NCC कैडेट्स की अधिकतम आयु सीमा क्या है?,26 वर्ष,TRUE,28 वर्ष,FALSE,25 वर्ष,FALSE,30 वर्ष,FALSE,,,,,,,,
89,hi,multi_choice,moyas,moderate,MY Bharat प्लेटफॉर्म पर कौन सी गतिविधियां शामिल हैं?,स्वयंसेवा,TRUE,अनुभवात्मक शिक्षण,TRUE,शेयर ट्रेडिंग,FALSE,क्विज और निबंध,TRUE,,,,,,,,
90,hi,multi_choice,general_studies,moderate,डिजिटल इंडिया की पहल कौन सी हैं?,डिजिलॉकर,TRUE,उमंग ऐप,TRUE,आधार कार्ड प्रिंटिंग,FALSE,भारतनेट,TRUE,,,,,,,,
91,hi,single_choice,general_studies,easy,भारत में सबसे ऊंचा नागरिक सम्मान कौन सा है?,भारत रत्न,TRUE,अर्जुन पुरस्कार,FALSE,द्रोणाचार्य पुरस्कार,FALSE,राजीव गांधी खेल रत्न,FALSE,,,,,,,,
92,hi,single_choice,general_studies,easy,पृथ्वी का कितना भाग जल से ढका है?,71 प्रतिशत,TRUE,60 प्रतिशत,FALSE,80 प्रतिशत,FALSE,50 प्रतिशत,FALSE,,,,,,,,
93,hi,single_choice,general_studies,moderate,भारत का मिसाइल मैन किसे कहा जाता है?,डॉ एपीजे अब्दुल कलाम,TRUE,विक्रम साराभाई,FALSE,होमी भाभा,FALSE,सी वी रमन,FALSE,,,,,,,,
94,hi,single_choice,general_studies,moderate,आधार कार्ड कितने अंकों का होता है?,12 अंक,TRUE,10 अंक,FALSE,16 अंक,FALSE,8 अंक,FALSE,,,,,,,,
95,hi,single_choice,general_studies,difficult,भारतीय संविधान में कितने अनुच्छेद हैं?,395 मूल अनुच्छेद,TRUE,300 अनुच्छेद,FALSE,450 अनुच्छेद,FALSE,250 अनुच्छेद,FALSE,,,,,,,,
96,hi,single_choice,general_studies,difficult,पंचायती राज संस्था कितने स्तरों पर कार्य करती है?,तीन स्तर,TRUE,दो स्तर,FALSE,चार स्तर,FALSE,पांच स्तर,FALSE,,,,,,,,
97,hi,single_choice,state_gk,easy,कर्नाटक की राजधानी कौन सी है?,बेंगलुरु,TRUE,मैसूरु,FALSE,मंगलुरु,FALSE,हुबली,FALSE,,,,,,,,
98,hi,single_choice,state_gk,moderate,गोवा की राजभाषा क्या है?,कोंकणी,TRUE,मराठी,FALSE,हिंदी,FALSE,पुर्तगाली,FALSE,,,,,,,,
99,hi,single_choice,general_studies,easy,भारत के किस शहर को पिंक सिटी कहते हैं?,जयपुर,TRUE,जोधपुर,FALSE,उदयपुर,FALSE,बीकानेर,FALSE,,,,,,,,
100,hi,single_choice,general_studies,moderate,भारत के संविधान में कितने मौलिक अधिकार हैं?,6,TRUE,7,FALSE,5,FALSE,8,FALSE,,,,,,,,
